"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Count
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2000"	"2000"	136107
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2001"	"2001"	140852
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2002"	"2002"	142533
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2003"	"2003"	141105
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2004"	"2004"	144791
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2005"	"2005"	146624
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2006"	"2006"	148117
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2007"	"2007"	154288
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2008"	"2008"	156392
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2009"	"2009"	158114
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2010"	"2010"	158067
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2011"	"2011"	157423
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"1999"	"1999"	15994
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2000"	"2000"	16621
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2001"	"2001"	17670
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2002"	"2002"	17815
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2003"	"2003"	17882
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2004"	"2004"	18165
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2005"	"2005"	18683
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2006"	"2006"	19082
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2007"	"2007"	20495
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2008"	"2008"	20729
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2009"	"2009"	21361
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2010"	"2010"	21099
	"All Cancer Sites Combined"	"0"	"Colorado"	"08"	"2011"	"2011"	21311
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"1999"	"1999"	18565
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2000"	"2000"	19047
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2001"	"2001"	19450
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2002"	"2002"	19403
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2003"	"2003"	19350
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2004"	"2004"	19296
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2005"	"2005"	19566
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2006"	"2006"	20342
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2007"	"2007"	20353
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2008"	"2008"	20439
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2009"	"2009"	20755
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2010"	"2010"	20329
	"All Cancer Sites Combined"	"0"	"Connecticut"	"09"	"2011"	"2011"	20266
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"1999"	"1999"	3937
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2000"	"2000"	4108
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2001"	"2001"	4256
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2002"	"2002"	4307
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2003"	"2003"	4267
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2004"	"2004"	4456
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2005"	"2005"	4760
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2006"	"2006"	4949
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2007"	"2007"	5014
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2008"	"2008"	5108
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2009"	"2009"	5157
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2010"	"2010"	5135
	"All Cancer Sites Combined"	"0"	"Delaware"	"10"	"2011"	"2011"	5274
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"1999"	"1999"	2961
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2000"	"2000"	2941
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2003"	"2003"	3054
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2004"	"2004"	2725
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2005"	"2005"	2748
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2006"	"2006"	2726
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2007"	"2007"	2943
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2008"	"2008"	2673
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2009"	"2009"	2767
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2010"	"2010"	2889
	"All Cancer Sites Combined"	"0"	"District of Columbia"	"11"	"2011"	"2011"	3068
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"1999"	"1999"	98747
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2000"	"2000"	101565
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2001"	"2001"	102656
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2002"	"2002"	101749
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2003"	"2003"	100425
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2004"	"2004"	100603
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2005"	"2005"	103655
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2006"	"2006"	104286
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2007"	"2007"	106387
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2008"	"2008"	108541
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2009"	"2009"	107640
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2010"	"2010"	105903
	"All Cancer Sites Combined"	"0"	"Florida"	"12"	"2011"	"2011"	105521
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"1999"	"1999"	30005
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2000"	"2000"	32605
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2001"	"2001"	34101
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2002"	"2002"	35209
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2003"	"2003"	35367
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2004"	"2004"	36383
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2005"	"2005"	37023
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2006"	"2006"	38772
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2007"	"2007"	41539
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2008"	"2008"	42490
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2009"	"2009"	43091
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2010"	"2010"	42450
	"All Cancer Sites Combined"	"0"	"Georgia"	"13"	"2011"	"2011"	43871
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"1999"	"1999"	5331
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2000"	"2000"	5224
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2001"	"2001"	5529
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2002"	"2002"	5578
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2003"	"2003"	5700
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2004"	"2004"	5966
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2005"	"2005"	6068
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2006"	"2006"	6144
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2007"	"2007"	6358
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2008"	"2008"	6580
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2009"	"2009"	6726
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2010"	"2010"	6665
	"All Cancer Sites Combined"	"0"	"Hawaii"	"15"	"2011"	"2011"	6711
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"1999"	"1999"	5166
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2000"	"2000"	5632
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2001"	"2001"	5674
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2002"	"2002"	5895
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2003"	"2003"	5943
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2004"	"2004"	6118
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2005"	"2005"	6512
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2006"	"2006"	6707
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2007"	"2007"	7099
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2008"	"2008"	7080
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2009"	"2009"	7249
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2010"	"2010"	7301
	"All Cancer Sites Combined"	"0"	"Idaho"	"16"	"2011"	"2011"	7394
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"1999"	"1999"	58406
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2000"	"2000"	58737
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2001"	"2001"	60450
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2002"	"2002"	61893
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2003"	"2003"	60532
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2004"	"2004"	61030
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2005"	"2005"	61392
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2006"	"2006"	63283
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2007"	"2007"	64445
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2008"	"2008"	65721
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2009"	"2009"	65956
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2010"	"2010"	64231
	"All Cancer Sites Combined"	"0"	"Illinois"	"17"	"2011"	"2011"	64895
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"1999"	"1999"	27191
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2000"	"2000"	28397
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2001"	"2001"	29633
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2002"	"2002"	29978
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2003"	"2003"	30031
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2004"	"2004"	29884
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2005"	"2005"	30296
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2006"	"2006"	31412
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2007"	"2007"	31589
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2008"	"2008"	31950
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2009"	"2009"	31890
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2010"	"2010"	31821
	"All Cancer Sites Combined"	"0"	"Indiana"	"18"	"2011"	"2011"	31573
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"1999"	"1999"	15719
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2000"	"2000"	15642
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2001"	"2001"	16112
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2002"	"2002"	16210
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2003"	"2003"	15941
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2004"	"2004"	16149
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2005"	"2005"	16319
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2006"	"2006"	16631
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2007"	"2007"	16723
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2008"	"2008"	16792
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2009"	"2009"	17402
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2010"	"2010"	17301
	"All Cancer Sites Combined"	"0"	"Iowa"	"19"	"2011"	"2011"	17077
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"1999"	"1999"	13039
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2000"	"2000"	13051
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2001"	"2001"	12945
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2002"	"2002"	12976
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2003"	"2003"	13377
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2004"	"2004"	13536
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2005"	"2005"	13589
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2006"	"2006"	13875
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2007"	"2007"	14438
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2008"	"2008"	14570
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2009"	"2009"	14443
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2010"	"2010"	14338
	"All Cancer Sites Combined"	"0"	"Kansas"	"20"	"2011"	"2011"	14471
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"1999"	"1999"	20768
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2000"	"2000"	21215
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2001"	"2001"	21747
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2002"	"2002"	21742
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2003"	"2003"	21876
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2004"	"2004"	22342
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2005"	"2005"	22578
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2006"	"2006"	23804
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2007"	"2007"	24327
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2008"	"2008"	24475
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2009"	"2009"	24656
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2010"	"2010"	25150
	"All Cancer Sites Combined"	"0"	"Kentucky"	"21"	"2011"	"2011"	24722
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"1999"	"1999"	20298
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2000"	"2000"	20575
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2001"	"2001"	21272
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2002"	"2002"	21412
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2003"	"2003"	21456
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2004"	"2004"	21920
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2005"	"2005"	20920
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2006"	"2006"	21432
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2007"	"2007"	22241
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2008"	"2008"	22695
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2009"	"2009"	23305
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2010"	"2010"	23341
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2011"	"2011"	23694
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"1999"	"1999"	7110
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2000"	"2000"	7543
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2001"	"2001"	7799
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2002"	"2002"	7843
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2003"	"2003"	7877
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2004"	"2004"	8291
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2005"	"2005"	8255
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2006"	"2006"	8578
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2007"	"2007"	8490
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2008"	"2008"	8403
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2009"	"2009"	8280
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2010"	"2010"	8302
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2011"	"2011"	8215
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"1999"	"1999"	24604
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2000"	"2000"	24960
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2002"	"2002"	26265
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2003"	"2003"	27019
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2004"	"2004"	25314
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2005"	"2005"	25637
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2006"	"2006"	25751
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2007"	"2007"	27630
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2008"	"2008"	28337
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2009"	"2009"	27875
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2010"	"2010"	28247
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2011"	"2011"	27611
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"1999"	"1999"	33736
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2000"	"2000"	34284
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2001"	"2001"	35058
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2002"	"2002"	35753
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2003"	"2003"	34889
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2004"	"2004"	35247
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2005"	"2005"	35725
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2006"	"2006"	36856
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2007"	"2007"	36690
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2008"	"2008"	37250
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2009"	"2009"	37108
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2010"	"2010"	35245
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2011"	"2011"	36339
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"1999"	"1999"	50398
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2000"	"2000"	50864
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2001"	"2001"	51462
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2002"	"2002"	52372
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2003"	"2003"	52748
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2004"	"2004"	51769
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2005"	"2005"	52443
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2006"	"2006"	53117
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2007"	"2007"	55411
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2008"	"2008"	53133
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2009"	"2009"	53453
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2010"	"2010"	54424
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2011"	"2011"	53796
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"1999"	"1999"	21779
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2000"	"2000"	22634
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2001"	"2001"	23512
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2002"	"2002"	23690
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2003"	"2003"	23575
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2004"	"2004"	24319
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2005"	"2005"	24477
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2006"	"2006"	25346
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2007"	"2007"	26626
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2008"	"2008"	26776
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2009"	"2009"	26681
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2010"	"2010"	26856
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2011"	"2011"	28660
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2003"	"2003"	13067
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2004"	"2004"	13414
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2005"	"2005"	13525
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2006"	"2006"	14086
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2007"	"2007"	14858
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2008"	"2008"	15186
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2009"	"2009"	14836
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2010"	"2010"	15201
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2011"	"2011"	14936
	"All Cancer Sites Combined"	"0"	"Missouri"	"29"	"1999"	"1999"	27536
	"All Cancer Sites Combined"	"0"	"Missouri"	"29"	"2000"	"2000"	27294
	"All Cancer Sites Combined"	"0"	"Missouri"	"29"	"2001"	"2001"	28130
	"All Cancer Sites Combined"	"0"	"Missouri"	"29"	"2002"	"2002"	28427
	"All Cancer Sites Combined"	"0"	"Missouri"	"29"	"2003"	"2003"	28679
	"All Cancer Sites Combined"	"0"	"Missouri"	"29"	"2004"	"2004"	28658
	"All Cancer Sites Combined"	"0"	"Missouri"	"29"	"2005"	"2005"	30308
