"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	Count
	"Lip"	"20010"	"Kansas"	"20"	19
	"Lip"	"20010"	"Kentucky"	"21"	68
	"Lip"	"20010"	"Louisiana"	"22"	35
	"Lip"	"20010"	"Maine"	"23"	18
	"Lip"	"20010"	"Maryland"	"24"	21
	"Lip"	"20010"	"Massachusetts"	"25"	42
	"Lip"	"20010"	"Michigan"	"26"	51
	"Lip"	"20010"	"Minnesota"	"27"	65
	"Lip"	"20010"	"Mississippi"	"28"	31
	"Lip"	"20010"	"Missouri"	"29"	38
	"Lip"	"20010"	"Montana"	"30"	20
	"Lip"	"20010"	"Nebraska"	"31"	20
	"Lip"	"20010"	"New Jersey"	"34"	36
	"Lip"	"20010"	"New Mexico"	"35"	19
	"Lip"	"20010"	"New York"	"36"	86
	"Lip"	"20010"	"North Carolina"	"37"	34
	"Lip"	"20010"	"North Dakota"	"38"	19
	"Lip"	"20010"	"Ohio"	"39"	42
	"Lip"	"20010"	"Oklahoma"	"40"	86
	"Lip"	"20010"	"Oregon"	"41"	24
	"Lip"	"20010"	"Pennsylvania"	"42"	87
	"Lip"	"20010"	"South Carolina"	"45"	18
	"Lip"	"20010"	"Tennessee"	"47"	47
	"Lip"	"20010"	"Texas"	"48"	105
	"Lip"	"20010"	"Virginia"	"51"	33
	"Lip"	"20010"	"Washington"	"53"	67
	"Lip"	"20010"	"Wisconsin"	"55"	48
	"Tongue"	"20020"	"Alabama"	"01"	187
	"Tongue"	"20020"	"Alaska"	"02"	25
	"Tongue"	"20020"	"Arizona"	"04"	166
	"Tongue"	"20020"	"Arkansas"	"05"	135
	"Tongue"	"20020"	"California"	"06"	1134
	"Tongue"	"20020"	"Colorado"	"08"	190
	"Tongue"	"20020"	"Connecticut"	"09"	155
	"Tongue"	"20020"	"Delaware"	"10"	39
	"Tongue"	"20020"	"District of Columbia"	"11"	19
	"Tongue"	"20020"	"Florida"	"12"	926
	"Tongue"	"20020"	"Georgia"	"13"	309
	"Tongue"	"20020"	"Hawaii"	"15"	53
	"Tongue"	"20020"	"Idaho"	"16"	56
	"Tongue"	"20020"	"Illinois"	"17"	418
	"Tongue"	"20020"	"Indiana"	"18"	224
	"Tongue"	"20020"	"Iowa"	"19"	114
	"Tongue"	"20020"	"Kansas"	"20"	93
	"Tongue"	"20020"	"Kentucky"	"21"	170
	"Tongue"	"20020"	"Louisiana"	"22"	164
	"Tongue"	"20020"	"Maine"	"23"	64
	"Tongue"	"20020"	"Maryland"	"24"	201
	"Tongue"	"20020"	"Massachusetts"	"25"	260
	"Tongue"	"20020"	"Michigan"	"26"	381
	"Tongue"	"20020"	"Minnesota"	"27"	202
	"Tongue"	"20020"	"Mississippi"	"28"	121
	"Tongue"	"20020"	"Missouri"	"29"	223
	"Tongue"	"20020"	"Montana"	"30"	45
	"Tongue"	"20020"	"Nebraska"	"31"	72
	"Tongue"	"20020"	"Nevada"	"32"	87
	"Tongue"	"20020"	"New Hampshire"	"33"	51
	"Tongue"	"20020"	"New Jersey"	"34"	289
	"Tongue"	"20020"	"New Mexico"	"35"	58
	"Tongue"	"20020"	"New York"	"36"	701
	"Tongue"	"20020"	"North Carolina"	"37"	367
	"Tongue"	"20020"	"North Dakota"	"38"	18
	"Tongue"	"20020"	"Ohio"	"39"	441
	"Tongue"	"20020"	"Oklahoma"	"40"	140
	"Tongue"	"20020"	"Oregon"	"41"	143
	"Tongue"	"20020"	"Pennsylvania"	"42"	490
	"Tongue"	"20020"	"Rhode Island"	"44"	47
	"Tongue"	"20020"	"South Carolina"	"45"	185
	"Tongue"	"20020"	"South Dakota"	"46"	33
	"Tongue"	"20020"	"Tennessee"	"47"	252
	"Tongue"	"20020"	"Texas"	"48"	750
	"Tongue"	"20020"	"Utah"	"49"	63
	"Tongue"	"20020"	"Vermont"	"50"	30
	"Tongue"	"20020"	"Virginia"	"51"	261
	"Tongue"	"20020"	"Washington"	"53"	256
	"Tongue"	"20020"	"West Virginia"	"54"	69
	"Tongue"	"20020"	"Wisconsin"	"55"	202
	"Tongue"	"20020"	"Wyoming"	"56"	27
	"Salivary Gland"	"20030"	"Alabama"	"01"	77
	"Salivary Gland"	"20030"	"Arizona"	"04"	77
	"Salivary Gland"	"20030"	"Arkansas"	"05"	44
	"Salivary Gland"	"20030"	"California"	"06"	414
	"Salivary Gland"	"20030"	"Colorado"	"08"	56
	"Salivary Gland"	"20030"	"Connecticut"	"09"	44
	"Salivary Gland"	"20030"	"Florida"	"12"	283
	"Salivary Gland"	"20030"	"Georgia"	"13"	123
	"Salivary Gland"	"20030"	"Hawaii"	"15"	17
	"Salivary Gland"	"20030"	"Idaho"	"16"	23
	"Salivary Gland"	"20030"	"Illinois"	"17"	171
	"Salivary Gland"	"20030"	"Indiana"	"18"	77
	"Salivary Gland"	"20030"	"Iowa"	"19"	43
	"Salivary Gland"	"20030"	"Kansas"	"20"	33
	"Salivary Gland"	"20030"	"Kentucky"	"21"	46
	"Salivary Gland"	"20030"	"Louisiana"	"22"	66
	"Salivary Gland"	"20030"	"Maine"	"23"	19
	"Salivary Gland"	"20030"	"Maryland"	"24"	75
	"Salivary Gland"	"20030"	"Massachusetts"	"25"	94
	"Salivary Gland"	"20030"	"Michigan"	"26"	133
	"Salivary Gland"	"20030"	"Minnesota"	"27"	65
	"Salivary Gland"	"20030"	"Mississippi"	"28"	32
	"Salivary Gland"	"20030"	"Missouri"	"29"	68
	"Salivary Gland"	"20030"	"Nebraska"	"31"	24
	"Salivary Gland"	"20030"	"Nevada"	"32"	38
	"Salivary Gland"	"20030"	"New Hampshire"	"33"	20
	"Salivary Gland"	"20030"	"New Jersey"	"34"	137
	"Salivary Gland"	"20030"	"New Mexico"	"35"	26
	"Salivary Gland"	"20030"	"New York"	"36"	267
	"Salivary Gland"	"20030"	"North Carolina"	"37"	116
	"Salivary Gland"	"20030"	"Ohio"	"39"	182
	"Salivary Gland"	"20030"	"Oklahoma"	"40"	66
	"Salivary Gland"	"20030"	"Oregon"	"41"	45
	"Salivary Gland"	"20030"	"Pennsylvania"	"42"	203
	"Salivary Gland"	"20030"	"South Carolina"	"45"	66
	"Salivary Gland"	"20030"	"Tennessee"	"47"	112
	"Salivary Gland"	"20030"	"Texas"	"48"	253
	"Salivary Gland"	"20030"	"Utah"	"49"	32
	"Salivary Gland"	"20030"	"Virginia"	"51"	107
	"Salivary Gland"	"20030"	"Washington"	"53"	94
	"Salivary Gland"	"20030"	"West Virginia"	"54"	22
	"Salivary Gland"	"20030"	"Wisconsin"	"55"	85
	"Floor of Mouth"	"20040"	"Alabama"	"01"	35
	"Floor of Mouth"	"20040"	"Arizona"	"04"	39
	"Floor of Mouth"	"20040"	"California"	"06"	174
	"Floor of Mouth"	"20040"	"Colorado"	"08"	37
	"Floor of Mouth"	"20040"	"Connecticut"	"09"	28
	"Floor of Mouth"	"20040"	"Florida"	"12"	165
	"Floor of Mouth"	"20040"	"Georgia"	"13"	45
	"Floor of Mouth"	"20040"	"Illinois"	"17"	80
	"Floor of Mouth"	"20040"	"Indiana"	"18"	44
	"Floor of Mouth"	"20040"	"Iowa"	"19"	32
	"Floor of Mouth"	"20040"	"Kansas"	"20"	20
	"Floor of Mouth"	"20040"	"Kentucky"	"21"	39
	"Floor of Mouth"	"20040"	"Louisiana"	"22"	40
	"Floor of Mouth"	"20040"	"Maryland"	"24"	29
	"Floor of Mouth"	"20040"	"Massachusetts"	"25"	42
	"Floor of Mouth"	"20040"	"Michigan"	"26"	85
	"Floor of Mouth"	"20040"	"Minnesota"	"27"	39
	"Floor of Mouth"	"20040"	"Mississippi"	"28"	23
	"Floor of Mouth"	"20040"	"Missouri"	"29"	44
	"Floor of Mouth"	"20040"	"New Jersey"	"34"	63
	"Floor of Mouth"	"20040"	"New York"	"36"	101
	"Floor of Mouth"	"20040"	"North Carolina"	"37"	66
	"Floor of Mouth"	"20040"	"Ohio"	"39"	80
	"Floor of Mouth"	"20040"	"Oklahoma"	"40"	31
	"Floor of Mouth"	"20040"	"Oregon"	"41"	31
	"Floor of Mouth"	"20040"	"Pennsylvania"	"42"	106
	"Floor of Mouth"	"20040"	"South Carolina"	"45"	40
	"Floor of Mouth"	"20040"	"Tennessee"	"47"	45
	"Floor of Mouth"	"20040"	"Texas"	"48"	116
	"Floor of Mouth"	"20040"	"Virginia"	"51"	60
	"Floor of Mouth"	"20040"	"Washington"	"53"	51
	"Floor of Mouth"	"20040"	"West Virginia"	"54"	34
	"Floor of Mouth"	"20040"	"Wisconsin"	"55"	62
	"Gum and Other Mouth"	"20050"	"Alabama"	"01"	110
	"Gum and Other Mouth"	"20050"	"Arizona"	"04"	56
	"Gum and Other Mouth"	"20050"	"Arkansas"	"05"	49
	"Gum and Other Mouth"	"20050"	"California"	"06"	504
	"Gum and Other Mouth"	"20050"	"Colorado"	"08"	69
	"Gum and Other Mouth"	"20050"	"Connecticut"	"09"	62
	"Gum and Other Mouth"	"20050"	"Delaware"	"10"	26
	"Gum and Other Mouth"	"20050"	"Florida"	"12"	377
	"Gum and Other Mouth"	"20050"	"Georgia"	"13"	148
	"Gum and Other Mouth"	"20050"	"Hawaii"	"15"	23
	"Gum and Other Mouth"	"20050"	"Idaho"	"16"	28
	"Gum and Other Mouth"	"20050"	"Illinois"	"17"	251
	"Gum and Other Mouth"	"20050"	"Indiana"	"18"	130
	"Gum and Other Mouth"	"20050"	"Iowa"	"19"	65
	"Gum and Other Mouth"	"20050"	"Kansas"	"20"	43
	"Gum and Other Mouth"	"20050"	"Kentucky"	"21"	74
	"Gum and Other Mouth"	"20050"	"Louisiana"	"22"	82
	"Gum and Other Mouth"	"20050"	"Maine"	"23"	26
	"Gum and Other Mouth"	"20050"	"Maryland"	"24"	104
	"Gum and Other Mouth"	"20050"	"Massachusetts"	"25"	132
	"Gum and Other Mouth"	"20050"	"Michigan"	"26"	221
	"Gum and Other Mouth"	"20050"	"Minnesota"	"27"	111
	"Gum and Other Mouth"	"20050"	"Mississippi"	"28"	60
	"Gum and Other Mouth"	"20050"	"Missouri"	"29"	118
	"Gum and Other Mouth"	"20050"	"Nebraska"	"31"	46
	"Gum and Other Mouth"	"20050"	"Nevada"	"32"	27
	"Gum and Other Mouth"	"20050"	"New Hampshire"	"33"	21
	"Gum and Other Mouth"	"20050"	"New Jersey"	"34"	127
	"Gum and Other Mouth"	"20050"	"New Mexico"	"35"	30
	"Gum and Other Mouth"	"20050"	"New York"	"36"	358
	"Gum and Other Mouth"	"20050"	"North Carolina"	"37"	148
	"Gum and Other Mouth"	"20050"	"Ohio"	"39"	163
	"Gum and Other Mouth"	"20050"	"Oklahoma"	"40"	68
	"Gum and Other Mouth"	"20050"	"Oregon"	"41"	44
	"Gum and Other Mouth"	"20050"	"Pennsylvania"	"42"	274
	"Gum and Other Mouth"	"20050"	"Rhode Island"	"44"	22
	"Gum and Other Mouth"	"20050"	"South Carolina"	"45"	80
	"Gum and Other Mouth"	"20050"	"Tennessee"	"47"	121
	"Gum and Other Mouth"	"20050"	"Texas"	"48"	316
	"Gum and Other Mouth"	"20050"	"Utah"	"49"	23
	"Gum and Other Mouth"	"20050"	"Virginia"	"51"	117
	"Gum and Other Mouth"	"20050"	"Washington"	"53"	120
	"Gum and Other Mouth"	"20050"	"West Virginia"	"54"	44
	"Gum and Other Mouth"	"20050"	"Wisconsin"	"55"	109
	"Nasopharynx"	"20060"	"Alabama"	"01"	31
	"Nasopharynx"	"20060"	"Arizona"	"04"	23
	"Nasopharynx"	"20060"	"California"	"06"	309
	"Nasopharynx"	"20060"	"Colorado"	"08"	17
	"Nasopharynx"	"20060"	"Florida"	"12"	96
	"Nasopharynx"	"20060"	"Georgia"	"13"	50
	"Nasopharynx"	"20060"	"Illinois"	"17"	83
	"Nasopharynx"	"20060"	"Indiana"	"18"	22
	"Nasopharynx"	"20060"	"Iowa"	"19"	17
	"Nasopharynx"	"20060"	"Kansas"	"20"	19
	"Nasopharynx"	"20060"	"Kentucky"	"21"	21
	"Nasopharynx"	"20060"	"Louisiana"	"22"	21
	"Nasopharynx"	"20060"	"Maryland"	"24"	36
	"Nasopharynx"	"20060"	"Massachusetts"	"25"	34
	"Nasopharynx"	"20060"	"Michigan"	"26"	60
	"Nasopharynx"	"20060"	"Minnesota"	"27"	22
	"Nasopharynx"	"20060"	"Missouri"	"29"	19
	"Nasopharynx"	"20060"	"New Jersey"	"34"	59
	"Nasopharynx"	"20060"	"New York"	"36"	168
	"Nasopharynx"	"20060"	"North Carolina"	"37"	55
	"Nasopharynx"	"20060"	"Ohio"	"39"	55
	"Nasopharynx"	"20060"	"Oklahoma"	"40"	17
	"Nasopharynx"	"20060"	"Pennsylvania"	"42"	75
	"Nasopharynx"	"20060"	"Tennessee"	"47"	45
	"Nasopharynx"	"20060"	"Texas"	"48"	124
	"Nasopharynx"	"20060"	"Virginia"	"51"	39
	"Nasopharynx"	"20060"	"Washington"	"53"	41
	"Nasopharynx"	"20060"	"Wisconsin"	"55"	22
	"Tonsil"	"20070"	"Alabama"	"01"	110
	"Tonsil"	"20070"	"Arizona"	"04"	116
	"Tonsil"	"20070"	"Arkansas"	"05"	87
	"Tonsil"	"20070"	"California"	"06"	706
	"Tonsil"	"20070"	"Colorado"	"08"	96
	"Tonsil"	"20070"	"Connecticut"	"09"	71
	"Tonsil"	"20070"	"Delaware"	"10"	22
	"Tonsil"	"20070"	"Florida"	"12"	566
	"Tonsil"	"20070"	"Georgia"	"13"	223
	"Tonsil"	"20070"	"Hawaii"	"15"	23
	"Tonsil"	"20070"	"Idaho"	"16"	31
	"Tonsil"	"20070"	"Illinois"	"17"	258
	"Tonsil"	"20070"	"Indiana"	"18"	176
	"Tonsil"	"20070"	"Iowa"	"19"	83
	"Tonsil"	"20070"	"Kansas"	"20"	62
	"Tonsil"	"20070"	"Kentucky"	"21"	145
	"Tonsil"	"20070"	"Louisiana"	"22"	116
	"Tonsil"	"20070"	"Maine"	"23"	47
	"Tonsil"	"20070"	"Maryland"	"24"	120
	"Tonsil"	"20070"	"Massachusetts"	"25"	151
	"Tonsil"	"20070"	"Michigan"	"26"	229
	"Tonsil"	"20070"	"Minnesota"	"27"	111
	"Tonsil"	"20070"	"Mississippi"	"28"	87
	"Tonsil"	"20070"	"Missouri"	"29"	165
	"Tonsil"	"20070"	"Montana"	"30"	31
	"Tonsil"	"20070"	"Nebraska"	"31"	29
	"Tonsil"	"20070"	"Nevada"	"32"	53
	"Tonsil"	"20070"	"New Hampshire"	"33"	41
	"Tonsil"	"20070"	"New Jersey"	"34"	175
	"Tonsil"	"20070"	"New Mexico"	"35"	41
	"Tonsil"	"20070"	"New York"	"36"	336
	"Tonsil"	"20070"	"North Carolina"	"37"	249
	"Tonsil"	"20070"	"North Dakota"	"38"	16
	"Tonsil"	"20070"	"Ohio"	"39"	284
	"Tonsil"	"20070"	"Oklahoma"	"40"	99
	"Tonsil"	"20070"	"Oregon"	"41"	92
	"Tonsil"	"20070"	"Pennsylvania"	"42"	307
	"Tonsil"	"20070"	"Rhode Island"	"44"	18
	"Tonsil"	"20070"	"South Carolina"	"45"	127
	"Tonsil"	"20070"	"South Dakota"	"46"	29
	"Tonsil"	"20070"	"Tennessee"	"47"	177
	"Tonsil"	"20070"	"Texas"	"48"	430
	"Tonsil"	"20070"	"Utah"	"49"	22
	"Tonsil"	"20070"	"Vermont"	"50"	21
	"Tonsil"	"20070"	"Virginia"	"51"	155
	"Tonsil"	"20070"	"Washington"	"53"	168
	"Tonsil"	"20070"	"West Virginia"	"54"	65
	"Tonsil"	"20070"	"Wisconsin"	"55"	120
	"Oropharynx"	"20080"	"Alabama"	"01"	32
	"Oropharynx"	"20080"	"Arizona"	"04"	22
	"Oropharynx"	"20080"	"Arkansas"	"05"	24
	"Oropharynx"	"20080"	"California"	"06"	134
	"Oropharynx"	"20080"	"Colorado"	"08"	19
	"Oropharynx"	"20080"	"Connecticut"	"09"	17
	"Oropharynx"	"20080"	"Florida"	"12"	184
	"Oropharynx"	"20080"	"Georgia"	"13"	47
	"Oropharynx"	"20080"	"Illinois"	"17"	103
	"Oropharynx"	"20080"	"Indiana"	"18"	39
	"Oropharynx"	"20080"	"Kansas"	"20"	17
	"Oropharynx"	"20080"	"Kentucky"	"21"	33
	"Oropharynx"	"20080"	"Louisiana"	"22"	35
	"Oropharynx"	"20080"	"Maryland"	"24"	34
	"Oropharynx"	"20080"	"Massachusetts"	"25"	34
	"Oropharynx"	"20080"	"Michigan"	"26"	74
	"Oropharynx"	"20080"	"Minnesota"	"27"	28
	"Oropharynx"	"20080"	"Mississippi"	"28"	22
	"Oropharynx"	"20080"	"Missouri"	"29"	43
	"Oropharynx"	"20080"	"Nevada"	"32"	22
	"Oropharynx"	"20080"	"New Jersey"	"34"	52
	"Oropharynx"	"20080"	"New York"	"36"	124
	"Oropharynx"	"20080"	"North Carolina"	"37"	74
	"Oropharynx"	"20080"	"Ohio"	"39"	66
	"Oropharynx"	"20080"	"Oklahoma"	"40"	29
	"Oropharynx"	"20080"	"Oregon"	"41"	28
	"Oropharynx"	"20080"	"Pennsylvania"	"42"	63
	"Oropharynx"	"20080"	"South Carolina"	"45"	35
	"Oropharynx"	"20080"	"Tennessee"	"47"	31
	"Oropharynx"	"20080"	"Texas"	"48"	122
	"Oropharynx"	"20080"	"Virginia"	"51"	50
	"Oropharynx"	"20080"	"Washington"	"53"	25
	"Oropharynx"	"20080"	"West Virginia"	"54"	17
	"Oropharynx"	"20080"	"Wisconsin"	"55"	28
	"Hypopharynx"	"20090"	"Alabama"	"01"	49
	"Hypopharynx"	"20090"	"Arizona"	"04"	25
	"Hypopharynx"	"20090"	"Arkansas"	"05"	22
	"Hypopharynx"	"20090"	"California"	"06"	190
	"Hypopharynx"	"20090"	"Colorado"	"08"	19
	"Hypopharynx"	"20090"	"Connecticut"	"09"	31
	"Hypopharynx"	"20090"	"Florida"	"12"	197
	"Hypopharynx"	"20090"	"Georgia"	"13"	75
	"Hypopharynx"	"20090"	"Hawaii"	"15"	18
	"Hypopharynx"	"20090"	"Illinois"	"17"	110
	"Hypopharynx"	"20090"	"Indiana"	"18"	36
	"Hypopharynx"	"20090"	"Kentucky"	"21"	46
	"Hypopharynx"	"20090"	"Louisiana"	"22"	44
	"Hypopharynx"	"20090"	"Maryland"	"24"	44
	"Hypopharynx"	"20090"	"Massachusetts"	"25"	52
	"Hypopharynx"	"20090"	"Michigan"	"26"	92
	"Hypopharynx"	"20090"	"Minnesota"	"27"	41
	"Hypopharynx"	"20090"	"Mississippi"	"28"	24
	"Hypopharynx"	"20090"	"Missouri"	"29"	44
	"Hypopharynx"	"20090"	"Nevada"	"32"	18
	"Hypopharynx"	"20090"	"New Jersey"	"34"	55
	"Hypopharynx"	"20090"	"New York"	"36"	132
	"Hypopharynx"	"20090"	"North Carolina"	"37"	84
	"Hypopharynx"	"20090"	"Ohio"	"39"	70
	"Hypopharynx"	"20090"	"Oklahoma"	"40"	26
	"Hypopharynx"	"20090"	"Oregon"	"41"	21
	"Hypopharynx"	"20090"	"Pennsylvania"	"42"	115
	"Hypopharynx"	"20090"	"Rhode Island"	"44"	19
	"Hypopharynx"	"20090"	"South Carolina"	"45"	55
	"Hypopharynx"	"20090"	"Tennessee"	"47"	40
	"Hypopharynx"	"20090"	"Texas"	"48"	144
	"Hypopharynx"	"20090"	"Virginia"	"51"	57
	"Hypopharynx"	"20090"	"Washington"	"53"	37
	"Hypopharynx"	"20090"	"West Virginia"	"54"	25
	"Hypopharynx"	"20090"	"Wisconsin"	"55"	52
	"Other Oral Cavity and Pharynx"	"20100"	"Alabama"	"01"	16
	"Other Oral Cavity and Pharynx"	"20100"	"Arizona"	"04"	19
	"Other Oral Cavity and Pharynx"	"20100"	"California"	"06"	63
	"Other Oral Cavity and Pharynx"	"20100"	"Colorado"	"08"	30
