"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	Count
	"Digestive System"	"21010-21130"	"2009"	"2009"	4388
	"Digestive System"	"21010-21130"	"2010"	"2010"	4368
	"Digestive System"	"21010-21130"	"2011"	"2011"	4403
	"Esophagus"	"21010"	"2000"	"2000"	211
	"Esophagus"	"21010"	"2001"	"2001"	225
	"Esophagus"	"21010"	"2002"	"2002"	222
	"Esophagus"	"21010"	"2003"	"2003"	243
	"Esophagus"	"21010"	"2004"	"2004"	228
	"Esophagus"	"21010"	"2005"	"2005"	246
	"Esophagus"	"21010"	"2006"	"2006"	243
	"Esophagus"	"21010"	"2007"	"2007"	266
	"Esophagus"	"21010"	"2008"	"2008"	254
	"Esophagus"	"21010"	"2009"	"2009"	272
	"Esophagus"	"21010"	"2010"	"2010"	262
	"Esophagus"	"21010"	"2011"	"2011"	275
	"Stomach"	"21020"	"2000"	"2000"	298
	"Stomach"	"21020"	"2001"	"2001"	326
	"Stomach"	"21020"	"2002"	"2002"	321
	"Stomach"	"21020"	"2003"	"2003"	289
	"Stomach"	"21020"	"2004"	"2004"	297
	"Stomach"	"21020"	"2005"	"2005"	319
	"Stomach"	"21020"	"2006"	"2006"	280
	"Stomach"	"21020"	"2007"	"2007"	335
	"Stomach"	"21020"	"2008"	"2008"	342
	"Stomach"	"21020"	"2009"	"2009"	314
	"Stomach"	"21020"	"2010"	"2010"	337
	"Stomach"	"21020"	"2011"	"2011"	363
	"Small Intestine"	"21030"	"2000"	"2000"	66
	"Small Intestine"	"21030"	"2001"	"2001"	85
	"Small Intestine"	"21030"	"2002"	"2002"	85
	"Small Intestine"	"21030"	"2003"	"2003"	74
	"Small Intestine"	"21030"	"2004"	"2004"	85
	"Small Intestine"	"21030"	"2005"	"2005"	77
	"Small Intestine"	"21030"	"2006"	"2006"	129
	"Small Intestine"	"21030"	"2007"	"2007"	107
	"Small Intestine"	"21030"	"2008"	"2008"	111
	"Small Intestine"	"21030"	"2009"	"2009"	126
	"Small Intestine"	"21030"	"2010"	"2010"	139
	"Small Intestine"	"21030"	"2011"	"2011"	148
	"Colon and Rectum"	"21041-21052"	"2000"	"2000"	2301
	"Colon and Rectum"	"21041-21052"	"2001"	"2001"	2336
	"Colon and Rectum"	"21041-21052"	"2002"	"2002"	2353
	"Colon and Rectum"	"21041-21052"	"2003"	"2003"	2375
	"Colon and Rectum"	"21041-21052"	"2004"	"2004"	2470
	"Colon and Rectum"	"21041-21052"	"2005"	"2005"	2475
	"Colon and Rectum"	"21041-21052"	"2006"	"2006"	2497
	"Colon and Rectum"	"21041-21052"	"2007"	"2007"	2519
	"Colon and Rectum"	"21041-21052"	"2008"	"2008"	2629
	"Colon and Rectum"	"21041-21052"	"2009"	"2009"	2459
	"Colon and Rectum"	"21041-21052"	"2010"	"2010"	2347
	"Colon and Rectum"	"21041-21052"	"2011"	"2011"	2253
	"Colon excluding Rectum"	"21041-21049"	"2000"	"2000"	1767
	"Colon excluding Rectum"	"21041-21049"	"2001"	"2001"	1739
	"Colon excluding Rectum"	"21041-21049"	"2002"	"2002"	1733
	"Colon excluding Rectum"	"21041-21049"	"2003"	"2003"	1728
	"Colon excluding Rectum"	"21041-21049"	"2004"	"2004"	1835
	"Colon excluding Rectum"	"21041-21049"	"2005"	"2005"	1845
	"Colon excluding Rectum"	"21041-21049"	"2006"	"2006"	1853
	"Colon excluding Rectum"	"21041-21049"	"2007"	"2007"	1859
	"Colon excluding Rectum"	"21041-21049"	"2008"	"2008"	1978
	"Colon excluding Rectum"	"21041-21049"	"2009"	"2009"	1810
	"Colon excluding Rectum"	"21041-21049"	"2010"	"2010"	1718
	"Colon excluding Rectum"	"21041-21049"	"2011"	"2011"	1681
	"Cecum"	"21041"	"2000"	"2000"	360
	"Cecum"	"21041"	"2001"	"2001"	383
	"Cecum"	"21041"	"2002"	"2002"	383
	"Cecum"	"21041"	"2003"	"2003"	388
	"Cecum"	"21041"	"2004"	"2004"	393
	"Cecum"	"21041"	"2005"	"2005"	377
	"Cecum"	"21041"	"2006"	"2006"	342
	"Cecum"	"21041"	"2007"	"2007"	355
	"Cecum"	"21041"	"2008"	"2008"	382
	"Cecum"	"21041"	"2009"	"2009"	334
	"Cecum"	"21041"	"2010"	"2010"	352
	"Cecum"	"21041"	"2011"	"2011"	343
	"Appendix"	"21042"	"2001"	"2001"	26
	"Appendix"	"21042"	"2002"	"2002"	18
	"Appendix"	"21042"	"2003"	"2003"	25
	"Appendix"	"21042"	"2004"	"2004"	35
	"Appendix"	"21042"	"2005"	"2005"	31
	"Appendix"	"21042"	"2006"	"2006"	29
	"Appendix"	"21042"	"2007"	"2007"	30
	"Appendix"	"21042"	"2008"	"2008"	29
	"Appendix"	"21042"	"2009"	"2009"	40
	"Appendix"	"21042"	"2010"	"2010"	45
	"Appendix"	"21042"	"2011"	"2011"	55
	"Ascending Colon"	"21043"	"2000"	"2000"	282
	"Ascending Colon"	"21043"	"2001"	"2001"	270
	"Ascending Colon"	"21043"	"2002"	"2002"	287
	"Ascending Colon"	"21043"	"2003"	"2003"	269
	"Ascending Colon"	"21043"	"2004"	"2004"	306
	"Ascending Colon"	"21043"	"2005"	"2005"	335
	"Ascending Colon"	"21043"	"2006"	"2006"	348
	"Ascending Colon"	"21043"	"2007"	"2007"	381
	"Ascending Colon"	"21043"	"2008"	"2008"	388
	"Ascending Colon"	"21043"	"2009"	"2009"	372
	"Ascending Colon"	"21043"	"2010"	"2010"	288
	"Ascending Colon"	"21043"	"2011"	"2011"	304
	"Hepatic Flexure"	"21044"	"2000"	"2000"	76
	"Hepatic Flexure"	"21044"	"2001"	"2001"	80
	"Hepatic Flexure"	"21044"	"2002"	"2002"	94
	"Hepatic Flexure"	"21044"	"2003"	"2003"	84
	"Hepatic Flexure"	"21044"	"2004"	"2004"	96
	"Hepatic Flexure"	"21044"	"2005"	"2005"	75
	"Hepatic Flexure"	"21044"	"2006"	"2006"	81
	"Hepatic Flexure"	"21044"	"2007"	"2007"	75
	"Hepatic Flexure"	"21044"	"2008"	"2008"	95
	"Hepatic Flexure"	"21044"	"2009"	"2009"	87
	"Hepatic Flexure"	"21044"	"2010"	"2010"	98
	"Hepatic Flexure"	"21044"	"2011"	"2011"	62
	"Transverse Colon"	"21045"	"2000"	"2000"	145
	"Transverse Colon"	"21045"	"2001"	"2001"	159
	"Transverse Colon"	"21045"	"2002"	"2002"	129
	"Transverse Colon"	"21045"	"2003"	"2003"	142
	"Transverse Colon"	"21045"	"2004"	"2004"	139
	"Transverse Colon"	"21045"	"2005"	"2005"	172
	"Transverse Colon"	"21045"	"2006"	"2006"	174
	"Transverse Colon"	"21045"	"2007"	"2007"	153
	"Transverse Colon"	"21045"	"2008"	"2008"	161
	"Transverse Colon"	"21045"	"2009"	"2009"	147
	"Transverse Colon"	"21045"	"2010"	"2010"	151
	"Transverse Colon"	"21045"	"2011"	"2011"	127
	"Splenic Flexure"	"21046"	"2000"	"2000"	62
	"Splenic Flexure"	"21046"	"2001"	"2001"	66
	"Splenic Flexure"	"21046"	"2002"	"2002"	53
	"Splenic Flexure"	"21046"	"2003"	"2003"	66
	"Splenic Flexure"	"21046"	"2004"	"2004"	64
	"Splenic Flexure"	"21046"	"2005"	"2005"	50
	"Splenic Flexure"	"21046"	"2006"	"2006"	60
	"Splenic Flexure"	"21046"	"2007"	"2007"	64
	"Splenic Flexure"	"21046"	"2008"	"2008"	48
	"Splenic Flexure"	"21046"	"2009"	"2009"	61
	"Splenic Flexure"	"21046"	"2010"	"2010"	49
	"Splenic Flexure"	"21046"	"2011"	"2011"	45
	"Descending Colon"	"21047"	"2000"	"2000"	108
	"Descending Colon"	"21047"	"2001"	"2001"	109
	"Descending Colon"	"21047"	"2002"	"2002"	92
	"Descending Colon"	"21047"	"2003"	"2003"	96
	"Descending Colon"	"21047"	"2004"	"2004"	118
	"Descending Colon"	"21047"	"2005"	"2005"	120
	"Descending Colon"	"21047"	"2006"	"2006"	111
	"Descending Colon"	"21047"	"2007"	"2007"	100
	"Descending Colon"	"21047"	"2008"	"2008"	117
	"Descending Colon"	"21047"	"2009"	"2009"	117
	"Descending Colon"	"21047"	"2010"	"2010"	100
	"Descending Colon"	"21047"	"2011"	"2011"	81
	"Sigmoid Colon"	"21048"	"2000"	"2000"	504
	"Sigmoid Colon"	"21048"	"2001"	"2001"	458
	"Sigmoid Colon"	"21048"	"2002"	"2002"	491
	"Sigmoid Colon"	"21048"	"2003"	"2003"	486
	"Sigmoid Colon"	"21048"	"2004"	"2004"	514
	"Sigmoid Colon"	"21048"	"2005"	"2005"	471
	"Sigmoid Colon"	"21048"	"2006"	"2006"	491
	"Sigmoid Colon"	"21048"	"2007"	"2007"	512
	"Sigmoid Colon"	"21048"	"2008"	"2008"	496
	"Sigmoid Colon"	"21048"	"2009"	"2009"	448
	"Sigmoid Colon"	"21048"	"2010"	"2010"	425
	"Sigmoid Colon"	"21048"	"2011"	"2011"	469
	"Large Intestine, NOS"	"21049"	"2000"	"2000"	215
	"Large Intestine, NOS"	"21049"	"2001"	"2001"	188
	"Large Intestine, NOS"	"21049"	"2002"	"2002"	186
	"Large Intestine, NOS"	"21049"	"2003"	"2003"	172
	"Large Intestine, NOS"	"21049"	"2004"	"2004"	170
	"Large Intestine, NOS"	"21049"	"2005"	"2005"	214
	"Large Intestine, NOS"	"21049"	"2006"	"2006"	217
	"Large Intestine, NOS"	"21049"	"2007"	"2007"	189
	"Large Intestine, NOS"	"21049"	"2008"	"2008"	262
	"Large Intestine, NOS"	"21049"	"2009"	"2009"	204
	"Large Intestine, NOS"	"21049"	"2010"	"2010"	210
	"Large Intestine, NOS"	"21049"	"2011"	"2011"	195
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2000"	"2000"	534
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2001"	"2001"	597
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2002"	"2002"	620
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2003"	"2003"	647
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2004"	"2004"	635
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2005"	"2005"	630
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2006"	"2006"	644
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2007"	"2007"	660
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2008"	"2008"	651
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2009"	"2009"	649
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2010"	"2010"	629
	"Rectum and Rectosigmoid Junction"	"21051-21052"	"2011"	"2011"	572
	"Rectosigmoid Junction"	"21051"	"2000"	"2000"	158
	"Rectosigmoid Junction"	"21051"	"2001"	"2001"	191
	"Rectosigmoid Junction"	"21051"	"2002"	"2002"	174
	"Rectosigmoid Junction"	"21051"	"2003"	"2003"	204
	"Rectosigmoid Junction"	"21051"	"2004"	"2004"	185
	"Rectosigmoid Junction"	"21051"	"2005"	"2005"	179
	"Rectosigmoid Junction"	"21051"	"2006"	"2006"	180
	"Rectosigmoid Junction"	"21051"	"2007"	"2007"	167
	"Rectosigmoid Junction"	"21051"	"2008"	"2008"	167
	"Rectosigmoid Junction"	"21051"	"2009"	"2009"	171
	"Rectosigmoid Junction"	"21051"	"2010"	"2010"	171
	"Rectosigmoid Junction"	"21051"	"2011"	"2011"	140
	"Rectum"	"21052"	"2000"	"2000"	376
	"Rectum"	"21052"	"2001"	"2001"	406
	"Rectum"	"21052"	"2002"	"2002"	446
	"Rectum"	"21052"	"2003"	"2003"	443
	"Rectum"	"21052"	"2004"	"2004"	450
	"Rectum"	"21052"	"2005"	"2005"	451
	"Rectum"	"21052"	"2006"	"2006"	464
	"Rectum"	"21052"	"2007"	"2007"	493
	"Rectum"	"21052"	"2008"	"2008"	484
	"Rectum"	"21052"	"2009"	"2009"	478
	"Rectum"	"21052"	"2010"	"2010"	458
	"Rectum"	"21052"	"2011"	"2011"	432
	"Anus, Anal Canal and Anorectum"	"21060"	"2000"	"2000"	58
	"Anus, Anal Canal and Anorectum"	"21060"	"2001"	"2001"	55
	"Anus, Anal Canal and Anorectum"	"21060"	"2002"	"2002"	53
	"Anus, Anal Canal and Anorectum"	"21060"	"2003"	"2003"	62
	"Anus, Anal Canal and Anorectum"	"21060"	"2004"	"2004"	75
	"Anus, Anal Canal and Anorectum"	"21060"	"2005"	"2005"	81
	"Anus, Anal Canal and Anorectum"	"21060"	"2006"	"2006"	78
	"Anus, Anal Canal and Anorectum"	"21060"	"2007"	"2007"	82
	"Anus, Anal Canal and Anorectum"	"21060"	"2008"	"2008"	103
	"Anus, Anal Canal and Anorectum"	"21060"	"2009"	"2009"	102
	"Anus, Anal Canal and Anorectum"	"21060"	"2010"	"2010"	107
	"Anus, Anal Canal and Anorectum"	"21060"	"2011"	"2011"	80
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2000"	"2000"	203
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2001"	"2001"	187
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2002"	"2002"	232
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2003"	"2003"	203
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2004"	"2004"	236
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2005"	"2005"	240
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2006"	"2006"	229
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2007"	"2007"	279
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2008"	"2008"	325
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2009"	"2009"	321
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2010"	"2010"	342
	"Liver and Intrahepatic Bile Duct"	"21071-21072"	"2011"	"2011"	379
	"Liver"	"21071"	"2000"	"2000"	174
	"Liver"	"21071"	"2001"	"2001"	166
	"Liver"	"21071"	"2002"	"2002"	210
	"Liver"	"21071"	"2003"	"2003"	177
	"Liver"	"21071"	"2004"	"2004"	218
	"Liver"	"21071"	"2005"	"2005"	222
	"Liver"	"21071"	"2006"	"2006"	215
	"Liver"	"21071"	"2007"	"2007"	258
	"Liver"	"21071"	"2008"	"2008"	296
	"Liver"	"21071"	"2009"	"2009"	295
	"Liver"	"21071"	"2010"	"2010"	304
	"Liver"	"21071"	"2011"	"2011"	338
	"Intrahepatic Bile Duct"	"21072"	"2000"	"2000"	29
	"Intrahepatic Bile Duct"	"21072"	"2001"	"2001"	21
	"Intrahepatic Bile Duct"	"21072"	"2002"	"2002"	22
	"Intrahepatic Bile Duct"	"21072"	"2003"	"2003"	26
	"Intrahepatic Bile Duct"	"21072"	"2004"	"2004"	18
	"Intrahepatic Bile Duct"	"21072"	"2005"	"2005"	18
	"Intrahepatic Bile Duct"	"21072"	"2007"	"2007"	21
	"Intrahepatic Bile Duct"	"21072"	"2008"	"2008"	29
	"Intrahepatic Bile Duct"	"21072"	"2009"	"2009"	26
	"Intrahepatic Bile Duct"	"21072"	"2010"	"2010"	38
	"Intrahepatic Bile Duct"	"21072"	"2011"	"2011"	41
	"Gallbladder"	"21080"	"2000"	"2000"	40
	"Gallbladder"	"21080"	"2001"	"2001"	43
	"Gallbladder"	"21080"	"2002"	"2002"	36
	"Gallbladder"	"21080"	"2003"	"2003"	40
	"Gallbladder"	"21080"	"2004"	"2004"	41
	"Gallbladder"	"21080"	"2005"	"2005"	40
	"Gallbladder"	"21080"	"2006"	"2006"	43
	"Gallbladder"	"21080"	"2007"	"2007"	57
	"Gallbladder"	"21080"	"2008"	"2008"	51
	"Gallbladder"	"21080"	"2009"	"2009"	48
	"Gallbladder"	"21080"	"2010"	"2010"	40
	"Gallbladder"	"21080"	"2011"	"2011"	45
	"Other Biliary"	"21090"	"2000"	"2000"	33
	"Other Biliary"	"21090"	"2001"	"2001"	65
	"Other Biliary"	"21090"	"2002"	"2002"	58
	"Other Biliary"	"21090"	"2003"	"2003"	67
	"Other Biliary"	"21090"	"2004"	"2004"	71
	"Other Biliary"	"21090"	"2005"	"2005"	66
	"Other Biliary"	"21090"	"2006"	"2006"	76
	"Other Biliary"	"21090"	"2007"	"2007"	60
	"Other Biliary"	"21090"	"2008"	"2008"	67
	"Other Biliary"	"21090"	"2009"	"2009"	71
	"Other Biliary"	"21090"	"2010"	"2010"	72
	"Other Biliary"	"21090"	"2011"	"2011"	57
	"Pancreas"	"21100"	"2000"	"2000"	477
	"Pancreas"	"21100"	"2001"	"2001"	501
	"Pancreas"	"21100"	"2002"	"2002"	470
	"Pancreas"	"21100"	"2003"	"2003"	470
	"Pancreas"	"21100"	"2004"	"2004"	525
	"Pancreas"	"21100"	"2005"	"2005"	539
	"Pancreas"	"21100"	"2006"	"2006"	565
	"Pancreas"	"21100"	"2007"	"2007"	579
	"Pancreas"	"21100"	"2008"	"2008"	685
	"Pancreas"	"21100"	"2009"	"2009"	620
	"Pancreas"	"21100"	"2010"	"2010"	670
	"Pancreas"	"21100"	"2011"	"2011"	751
	"Retroperitoneum"	"21110"	"2001"	"2001"	17
	"Retroperitoneum"	"21110"	"2006"	"2006"	25
	"Retroperitoneum"	"21110"	"2008"	"2008"	19
	"Retroperitoneum"	"21110"	"2009"	"2009"	20
	"Peritoneum, Omentum and Mesentery"	"21120"	"2002"	"2002"	22
	"Peritoneum, Omentum and Mesentery"	"21120"	"2003"	"2003"	27
	"Peritoneum, Omentum and Mesentery"	"21120"	"2004"	"2004"	30
	"Peritoneum, Omentum and Mesentery"	"21120"	"2005"	"2005"	27
	"Peritoneum, Omentum and Mesentery"	"21120"	"2006"	"2006"	30
	"Peritoneum, Omentum and Mesentery"	"21120"	"2007"	"2007"	30
	"Peritoneum, Omentum and Mesentery"	"21120"	"2008"	"2008"	33
	"Peritoneum, Omentum and Mesentery"	"21120"	"2009"	"2009"	29
	"Peritoneum, Omentum and Mesentery"	"21120"	"2010"	"2010"	27
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	21
	"Other Digestive Organs"	"21130"	"2003"	"2003"	19
	"Other Digestive Organs"	"21130"	"2004"	"2004"	16
	"Other Digestive Organs"	"21130"	"2006"	"2006"	19
	"Other Digestive Organs"	"21130"	"2011"	"2011"	18
	"Respiratory System"	"22010-22060"	"2000"	"2000"	3716
	"Respiratory System"	"22010-22060"	"2001"	"2001"	3934
	"Respiratory System"	"22010-22060"	"2002"	"2002"	3897
	"Respiratory System"	"22010-22060"	"2003"	"2003"	3832
	"Respiratory System"	"22010-22060"	"2004"	"2004"	4122
	"Respiratory System"	"22010-22060"	"2005"	"2005"	4074
	"Respiratory System"	"22010-22060"	"2006"	"2006"	4139
	"Respiratory System"	"22010-22060"	"2007"	"2007"	4193
